,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,6,2,59,65,8
Mar27bS1C2R1_LHl_200x_g.png,8,4,81,89,12
Mar24bS1C2R3_DMl_200x_g.png,0,0,40,40,0
Mar19bS1C4R3_DMr_200x_g.png,1,0,11,12,1
Mar20bS2C1R3_LHl_200x_g.png,0,0,26,26,0
Mar23bS1C6R1_DMl_200x_g.png,0,0,38,38,0
Mar20bS2C1R1_DMr_200x_g.png,3,2,28,31,5
Mar26bS1C4R3_DMr_200x_g.png,2,0,54,56,2
Mar24bS2C2R3_VLPAGl_200x_g.png,0,0,32,32,0
Mar22bS1C4R3_DMr_200x_g.png,0,0,13,13,0
Mar21bS2C1R2_DMl_200x_g.png,5,2,34,39,7
Mar20bS1C4R3_DMl_200x_g.png,1,0,20,21,1
Mar21bS1C2R2_VLPAGr_200x_g.png,1,1,34,35,2
Mar23bS1C5R2_DMl_200x_g.png,0,0,48,48,0
Mar24bS1C1R1_DMr_200x_g.png,0,0,58,58,0
Mar20bS2C1R1_LHl_200x_g.png,6,1,50,56,7
Mar19bS1C4R3_LHr_200x_g.png,0,0,10,10,0
Mar24bS2C2R2_VLPAGl_200x_g.png,1,0,53,54,1
Mar22bS1C3R3_LHl_200x_g.png,1,0,19,20,1
Mar19bS1C5R3_LHr_200x_g.png,0,0,11,11,0
Mar23bS1C6R3_LHr_200x_g.png,0,0,37,37,0
Mar21bS2C1R2_LHr_200x_g.png,6,4,51,57,10
Mar20bS1C4R1_LHl_200x_g.png,1,1,28,29,2
Mar24bS2C4R3_DMr_200x_g.png,0,0,47,47,0
Mar21bS2C1R1_LHr_200x_g.png,3,3,51,54,6
Mar20bS1C3R1_VLPAGl_200x_g.png,1,0,13,14,1
Mar26bS1C2R1_VLPAGl_200x_g.png,0,0,33,33,0
Mar19bS1C4R2_DMr_200x_g.png,0,0,18,18,0
Mar22bS1C1R3_VLPAGl_200x_g.png,1,0,21,22,1
Mar23bS1C5R3_DMl_200x_g.png,4,1,46,50,5
Mar20bS2C1R1_LHr_200x_g.png,0,0,25,25,0
Mar20bS2C2R2_LHr_200x_g.png,3,5,34,37,8
Mar20bS1C1R3_VLPAGr_200x_g.png,0,0,39,39,0
Mar20bS2C2R1_LHl_200x_g.png,1,0,24,25,1
Mar19bS1C2R3_VLPAGr_200x_g.png,0,0,14,14,0
Mar23bS1C2R1_VLPAGr_200x_g.png,0,0,46,46,0
Mar23bS1C6R2_LHr_200x_g.png,2,1,89,91,3
Mar24bS1C2R3_DMr_200x_g.png,0,0,27,27,0
Mar26bS1C4R3_LHr_200x_g.png,4,1,40,44,5
