,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,61,64,4,65,125
Mar27bS1C2R1_LHl_200x_g.png,79,106,10,89,185
Mar24bS1C2R3_DMl_200x_g.png,30,9,10,40,39
Mar19bS1C4R3_DMr_200x_g.png,12,17,0,12,29
Mar20bS2C1R3_LHl_200x_g.png,25,22,1,26,47
Mar23bS1C6R1_DMl_200x_g.png,35,23,3,38,58
Mar20bS2C1R1_DMr_200x_g.png,28,26,3,31,54
Mar26bS1C4R3_DMr_200x_g.png,54,42,2,56,96
Mar24bS2C2R3_VLPAGl_200x_g.png,28,23,4,32,51
Mar22bS1C4R3_DMr_200x_g.png,13,49,0,13,62
Mar21bS2C1R2_DMl_200x_g.png,39,78,0,39,117
Mar20bS1C4R3_DMl_200x_g.png,21,41,0,21,62
Mar21bS1C2R2_VLPAGr_200x_g.png,35,37,0,35,72
Mar23bS1C5R2_DMl_200x_g.png,47,45,1,48,92
Mar24bS1C1R1_DMr_200x_g.png,44,10,14,58,54
Mar20bS2C1R1_LHl_200x_g.png,54,39,2,56,93
Mar19bS1C4R3_LHr_200x_g.png,8,7,2,10,15
Mar24bS2C2R2_VLPAGl_200x_g.png,48,54,6,54,102
Mar22bS1C3R3_LHl_200x_g.png,20,47,0,20,67
Mar19bS1C5R3_LHr_200x_g.png,11,5,0,11,16
Mar23bS1C6R3_LHr_200x_g.png,35,34,2,37,69
Mar21bS2C1R2_LHr_200x_g.png,57,92,0,57,149
Mar20bS1C4R1_LHl_200x_g.png,29,14,0,29,43
Mar24bS2C4R3_DMr_200x_g.png,41,10,6,47,51
Mar21bS2C1R1_LHr_200x_g.png,54,47,0,54,101
Mar20bS1C3R1_VLPAGl_200x_g.png,14,23,0,14,37
Mar26bS1C2R1_VLPAGl_200x_g.png,33,50,0,33,83
Mar19bS1C4R2_DMr_200x_g.png,13,6,5,18,19
Mar22bS1C1R3_VLPAGl_200x_g.png,22,78,0,22,100
Mar23bS1C5R3_DMl_200x_g.png,50,53,0,50,103
Mar20bS2C1R1_LHr_200x_g.png,24,24,1,25,48
Mar20bS2C2R2_LHr_200x_g.png,37,19,0,37,56
Mar20bS1C1R3_VLPAGr_200x_g.png,39,25,0,39,64
Mar20bS2C2R1_LHl_200x_g.png,24,10,1,25,34
Mar19bS1C2R3_VLPAGr_200x_g.png,11,13,3,14,24
Mar23bS1C2R1_VLPAGr_200x_g.png,42,20,4,46,62
Mar23bS1C6R2_LHr_200x_g.png,80,19,11,91,99
Mar24bS1C2R3_DMr_200x_g.png,21,9,6,27,30
Mar26bS1C4R3_LHr_200x_g.png,44,20,0,44,64
