,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,58,34,7,65,92
Mar27bS1C2R1_LHl_200x_g.png,79,64,10,89,143
Mar24bS1C2R3_DMl_200x_g.png,26,4,14,40,30
Mar19bS1C4R3_DMr_200x_g.png,12,3,0,12,15
Mar20bS2C1R3_LHl_200x_g.png,26,7,0,26,33
Mar23bS1C6R1_DMl_200x_g.png,33,10,5,38,43
Mar20bS2C1R1_DMr_200x_g.png,28,8,3,31,36
Mar26bS1C4R3_DMr_200x_g.png,49,26,7,56,75
Mar24bS2C2R3_VLPAGl_200x_g.png,24,8,8,32,32
Mar22bS1C4R3_DMr_200x_g.png,13,32,0,13,45
Mar21bS2C1R2_DMl_200x_g.png,39,63,0,39,102
Mar20bS1C4R3_DMl_200x_g.png,21,15,0,21,36
Mar21bS1C2R2_VLPAGr_200x_g.png,35,25,0,35,60
Mar23bS1C5R2_DMl_200x_g.png,37,10,11,48,47
Mar24bS1C1R1_DMr_200x_g.png,34,1,24,58,35
Mar20bS2C1R1_LHl_200x_g.png,53,19,3,56,72
Mar19bS1C4R3_LHr_200x_g.png,7,0,3,10,7
Mar24bS2C2R2_VLPAGl_200x_g.png,43,30,11,54,73
Mar22bS1C3R3_LHl_200x_g.png,19,16,1,20,35
Mar19bS1C5R3_LHr_200x_g.png,11,5,0,11,16
Mar23bS1C6R3_LHr_200x_g.png,34,19,3,37,53
Mar21bS2C1R2_LHr_200x_g.png,57,64,0,57,121
Mar20bS1C4R1_LHl_200x_g.png,28,10,1,29,38
Mar24bS2C4R3_DMr_200x_g.png,36,5,11,47,41
Mar21bS2C1R1_LHr_200x_g.png,51,27,3,54,78
Mar20bS1C3R1_VLPAGl_200x_g.png,13,3,1,14,16
Mar26bS1C2R1_VLPAGl_200x_g.png,33,18,0,33,51
Mar19bS1C4R2_DMr_200x_g.png,8,1,10,18,9
Mar22bS1C1R3_VLPAGl_200x_g.png,21,43,1,22,64
Mar23bS1C5R3_DMl_200x_g.png,50,27,0,50,77
Mar20bS2C1R1_LHr_200x_g.png,23,12,2,25,35
Mar20bS2C2R2_LHr_200x_g.png,37,11,0,37,48
Mar20bS1C1R3_VLPAGr_200x_g.png,36,14,3,39,50
Mar20bS2C2R1_LHl_200x_g.png,23,7,2,25,30
Mar19bS1C2R3_VLPAGr_200x_g.png,6,2,8,14,8
Mar23bS1C2R1_VLPAGr_200x_g.png,39,7,7,46,46
Mar23bS1C6R2_LHr_200x_g.png,71,19,20,91,90
Mar24bS1C2R3_DMr_200x_g.png,16,5,11,27,21
Mar26bS1C4R3_LHr_200x_g.png,41,14,3,44,55
