,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,47,16,18,65,63
Mar27bS1C2R1_LHl_200x_g.png,76,45,13,89,121
Mar24bS1C2R3_DMl_200x_g.png,22,4,18,40,26
Mar19bS1C4R3_DMr_200x_g.png,10,0,2,12,10
Mar20bS2C1R3_LHl_200x_g.png,19,4,7,26,23
Mar23bS1C6R1_DMl_200x_g.png,29,5,9,38,34
Mar20bS2C1R1_DMr_200x_g.png,24,7,7,31,31
Mar26bS1C4R3_DMr_200x_g.png,42,10,14,56,52
Mar24bS2C2R3_VLPAGl_200x_g.png,17,2,15,32,19
Mar22bS1C4R3_DMr_200x_g.png,13,25,0,13,38
Mar21bS2C1R2_DMl_200x_g.png,39,41,0,39,80
Mar20bS1C4R3_DMl_200x_g.png,21,13,0,21,34
Mar21bS1C2R2_VLPAGr_200x_g.png,33,18,2,35,51
Mar23bS1C5R2_DMl_200x_g.png,33,6,15,48,39
Mar24bS1C1R1_DMr_200x_g.png,22,5,36,58,27
Mar20bS2C1R1_LHl_200x_g.png,50,15,6,56,65
Mar19bS1C4R3_LHr_200x_g.png,6,2,4,10,8
Mar24bS2C2R2_VLPAGl_200x_g.png,34,14,20,54,48
Mar22bS1C3R3_LHl_200x_g.png,17,9,3,20,26
Mar19bS1C5R3_LHr_200x_g.png,7,1,4,11,8
Mar23bS1C6R3_LHr_200x_g.png,30,6,7,37,36
Mar21bS2C1R2_LHr_200x_g.png,57,36,0,57,93
Mar20bS1C4R1_LHl_200x_g.png,21,6,8,29,27
Mar24bS2C4R3_DMr_200x_g.png,27,3,20,47,30
Mar21bS2C1R1_LHr_200x_g.png,45,26,9,54,71
Mar20bS1C3R1_VLPAGl_200x_g.png,11,2,3,14,13
Mar26bS1C2R1_VLPAGl_200x_g.png,24,9,9,33,33
Mar19bS1C4R2_DMr_200x_g.png,6,0,12,18,6
Mar22bS1C1R3_VLPAGl_200x_g.png,20,15,2,22,35
Mar23bS1C5R3_DMl_200x_g.png,49,35,1,50,84
Mar20bS2C1R1_LHr_200x_g.png,22,9,3,25,31
Mar20bS2C2R2_LHr_200x_g.png,33,7,4,37,40
Mar20bS1C1R3_VLPAGr_200x_g.png,33,9,6,39,42
Mar20bS2C2R1_LHl_200x_g.png,20,2,5,25,22
Mar19bS1C2R3_VLPAGr_200x_g.png,3,0,11,14,3
Mar23bS1C2R1_VLPAGr_200x_g.png,32,4,14,46,36
Mar23bS1C6R2_LHr_200x_g.png,56,12,35,91,68
Mar24bS1C2R3_DMr_200x_g.png,11,1,16,27,12
Mar26bS1C4R3_LHr_200x_g.png,35,7,9,44,42
