,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,23,8,42,65,31
Mar27bS1C2R1_LHl_200x_g.png,57,32,32,89,89
Mar24bS1C2R3_DMl_200x_g.png,7,2,33,40,9
Mar19bS1C4R3_DMr_200x_g.png,5,2,7,12,7
Mar20bS2C1R3_LHl_200x_g.png,11,4,15,26,15
Mar23bS1C6R1_DMl_200x_g.png,11,3,27,38,14
Mar20bS2C1R1_DMr_200x_g.png,12,7,19,31,19
Mar26bS1C4R3_DMr_200x_g.png,20,8,36,56,28
Mar24bS2C2R3_VLPAGl_200x_g.png,4,0,28,32,4
Mar22bS1C4R3_DMr_200x_g.png,5,0,8,13,5
Mar21bS2C1R2_DMl_200x_g.png,30,15,9,39,45
Mar20bS1C4R3_DMl_200x_g.png,9,4,12,21,13
Mar21bS1C2R2_VLPAGr_200x_g.png,21,14,14,35,35
Mar23bS1C5R2_DMl_200x_g.png,13,3,35,48,16
Mar24bS1C1R1_DMr_200x_g.png,8,1,50,58,9
Mar20bS2C1R1_LHl_200x_g.png,30,6,26,56,36
Mar19bS1C4R3_LHr_200x_g.png,4,2,6,10,6
Mar24bS2C2R2_VLPAGl_200x_g.png,11,2,43,54,13
Mar22bS1C3R3_LHl_200x_g.png,11,4,9,20,15
Mar19bS1C5R3_LHr_200x_g.png,4,1,7,11,5
Mar23bS1C6R3_LHr_200x_g.png,17,10,20,37,27
Mar21bS2C1R2_LHr_200x_g.png,45,22,12,57,67
Mar20bS1C4R1_LHl_200x_g.png,8,1,21,29,9
Mar24bS2C4R3_DMr_200x_g.png,10,2,37,47,12
Mar21bS2C1R1_LHr_200x_g.png,31,16,23,54,47
Mar20bS1C3R1_VLPAGl_200x_g.png,8,1,6,14,9
Mar26bS1C2R1_VLPAGl_200x_g.png,9,4,24,33,13
Mar19bS1C4R2_DMr_200x_g.png,4,2,14,18,6
Mar22bS1C1R3_VLPAGl_200x_g.png,12,1,10,22,13
Mar23bS1C5R3_DMl_200x_g.png,35,23,15,50,58
Mar20bS2C1R1_LHr_200x_g.png,7,2,18,25,9
Mar20bS2C2R2_LHr_200x_g.png,16,2,21,37,18
Mar20bS1C1R3_VLPAGr_200x_g.png,14,9,25,39,23
Mar20bS2C2R1_LHl_200x_g.png,9,1,16,25,10
Mar19bS1C2R3_VLPAGr_200x_g.png,0,0,14,14,0
Mar23bS1C2R1_VLPAGr_200x_g.png,15,7,31,46,22
Mar23bS1C6R2_LHr_200x_g.png,22,11,69,91,33
Mar24bS1C2R3_DMr_200x_g.png,3,1,24,27,4
Mar26bS1C4R3_LHr_200x_g.png,22,2,22,44,24
