,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,59,40,6,65,99
Mar27bS1C2R1_LHl_200x_g.png,80,82,9,89,162
Mar24bS1C2R3_DMl_200x_g.png,28,5,12,40,33
Mar19bS1C4R3_DMr_200x_g.png,12,9,0,12,21
Mar20bS2C1R3_LHl_200x_g.png,26,18,0,26,44
Mar23bS1C6R1_DMl_200x_g.png,35,25,3,38,60
Mar20bS2C1R1_DMr_200x_g.png,28,23,3,31,51
Mar26bS1C4R3_DMr_200x_g.png,52,45,4,56,97
Mar24bS2C2R3_VLPAGl_200x_g.png,27,9,5,32,36
Mar22bS1C4R3_DMr_200x_g.png,13,43,0,13,56
Mar21bS2C1R2_DMl_200x_g.png,39,73,0,39,112
Mar20bS1C4R3_DMl_200x_g.png,21,30,0,21,51
Mar21bS1C2R2_VLPAGr_200x_g.png,35,41,0,35,76
Mar23bS1C5R2_DMl_200x_g.png,47,36,1,48,83
Mar24bS1C1R1_DMr_200x_g.png,41,12,17,58,53
Mar20bS2C1R1_LHl_200x_g.png,54,33,2,56,87
Mar19bS1C4R3_LHr_200x_g.png,8,1,2,10,9
Mar24bS2C2R2_VLPAGl_200x_g.png,47,43,7,54,90
Mar22bS1C3R3_LHl_200x_g.png,19,29,1,20,48
Mar19bS1C5R3_LHr_200x_g.png,11,5,0,11,16
Mar23bS1C6R3_LHr_200x_g.png,35,26,2,37,61
Mar21bS2C1R2_LHr_200x_g.png,57,68,0,57,125
Mar20bS1C4R1_LHl_200x_g.png,29,10,0,29,39
Mar24bS2C4R3_DMr_200x_g.png,38,5,9,47,43
Mar21bS2C1R1_LHr_200x_g.png,54,44,0,54,98
Mar20bS1C3R1_VLPAGl_200x_g.png,14,12,0,14,26
Mar26bS1C2R1_VLPAGl_200x_g.png,33,35,0,33,68
Mar19bS1C4R2_DMr_200x_g.png,13,5,5,18,18
Mar22bS1C1R3_VLPAGl_200x_g.png,21,62,1,22,83
Mar23bS1C5R3_DMl_200x_g.png,50,36,0,50,86
Mar20bS2C1R1_LHr_200x_g.png,24,22,1,25,46
Mar20bS2C2R2_LHr_200x_g.png,37,18,0,37,55
Mar20bS1C1R3_VLPAGr_200x_g.png,39,23,0,39,62
Mar20bS2C2R1_LHl_200x_g.png,24,9,1,25,33
Mar19bS1C2R3_VLPAGr_200x_g.png,7,11,7,14,18
Mar23bS1C2R1_VLPAGr_200x_g.png,41,10,5,46,51
Mar23bS1C6R2_LHr_200x_g.png,76,18,15,91,94
Mar24bS1C2R3_DMr_200x_g.png,19,4,8,27,23
Mar26bS1C4R3_LHr_200x_g.png,43,14,1,44,57
